; rcp6 from v25
; hectordata 0.0.0.9000
; date Wed Feb  1 18:28:28 2023
; UNITS:, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
Date,BC_emissions,C2F6_emissions,CCl4_emissions,CF4_emissions,CFC113_emissions,CFC114_emissions,CFC115_emissions,CFC11_emissions,CFC12_emissions,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_emissions,CH4_emissions,CO_emissions,HCFC141b_emissions,HCFC142b_emissions,HCFC22_emissions,HFC125_emissions,HFC134a_emissions,HFC143a_emissions,HFC227ea_emissions,HFC23_emissions,HFC245fa_emissions,HFC32_emissions,HFC4310_emissions,N2O_emissions,NH3_emissions,NMVOC_emissions,NOX_emissions,OC_emissions,SF6_emissions,SO2_emissions,SV,daccs_uptake,ffi_emissions,halon1211_emissions,halon1301_emissions,halon2402_emissions,luc_emissions,luc_uptake
1745,0,0,0,0.010762744,0,0,0,0,0,157.267,0,3100.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
1746,0,0,0,0.010762744,0,0,0,0,0,157.267,0,3100.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
1747,0,0,0,0.010762744,0,0,0,0,0,157.267,0,3100.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
1748,0,0,0,0.010762744,0,0,0,0,0,157.267,0,3100.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
1749,0,0,0,0.010762744,0,0,0,0,0,157.267,0,3100.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
1750,0,0,0,0.010762744,0,0,0,0,0,157.267,0,3100.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
1751,0,0,0,0.010762744,0,0,0,0,0,157.267,0,3100.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
1752,0,0,0,0.010762744,0,0,0,0,0,157.267,0,3100.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
1753,0,0,0,0.010762744,0,0,0,0,0,157.267,0,3100.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
