; ssp370 from rcmip
; hectordata 0.0.0.9000
; commit afcb24f7b4d40ed
; date Mon Nov 21 11:19:32 2022
; UNITS:,  PgC year-1,  PgC year-1,  PgC year-1,  PgC year-1,  Tg year-1,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppb,  Tg CH4 year-1,  ppm,  Tg CO year-1,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppb,  Tg N year-1,  Tg year-1,  Tg NMVOC year-1,  Tg N year-1,  Tg year-1,  W m-2,  ppt,  ppt,  Gg S year-1,  W m-2,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt
Date,BC_emissions,C2F6_constrain,C2F6_emissions,CCl4_constrain,CCl4_emissions,CF4_constrain,CF4_emissions,CFC113_constrain,CFC113_emissions,CFC114_constrain,CFC114_emissions,CFC115_constrain,CFC115_emissions,CFC11_constrain,CFC11_emissions,CFC12_constrain,CFC12_emissions,CH3Br_constrain,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_constrain,CH3Cl_emissions,CH4_constrain,CH4_emissions,CO2_constrain,CO_emissions,HCFC141b_constrain,HCFC141b_emissions,HCFC142b_constrain,HCFC142b_emissions,HCFC22_constrain,HCFC22_emissions,HFC125_constrain,HFC125_emissions,HFC134a_constrain,HFC134a_emissions,HFC143a_constrain,HFC143a_emissions,HFC227ea_constrain,HFC227ea_emissions,HFC23_constrain,HFC23_emissions,HFC245fa_constrain,HFC245fa_emissions,HFC32_constrain,HFC32_emissions,HFC365_constrain,HFC365_emissions,HFC4310_constrain,HFC4310_emissions,N2O_constrain,N2O_emissions,NH3_emissions,NMVOC_emissions,NOX_emissions,OC_emissions,RF_albedo,SF6_constrain,SF6_emissions,SO2_emissions,SV,daccs_uptake,ffi_emissions,halon1211_constrain,halon1211_emissions,halon1301_constrain,halon1301_emissions,halon2402_constrain,halon2402_emissions,luc_emissions,luc_uptake
1745,2.09777075542297,0,0,0.0250004289361338,0.024856862,34.0499992370605,0.010071225,0,0,0,0,0,0,0,0,0,0,5.29999780654907,105.08773,0,457.000002543132,4275.7449,728.618087768555,19.0197831178096,276.985997517904,348.52735877736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.754048665365,0.0547514182619845,6.92769009144426,60.0218262241548,3.87728201525952,15.4476681469614,0,0,0,1221.92753132272,0.18574567415812,0,0.0025940126083578,0.00444657254653672,0.0077232726,0,0,0,0,0.0811758673989868,0
1746,2.09777075542297,0,0,0.0250004289361338,0.024856862,34.0499992370605,0.010071225,0,0,0,0,0,0,0,0,0,0,5.29999780654907,105.08773,0,457.000002543132,4275.7449,729.704874674479,19.0197831178096,277.013999938965,348.52735877736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.785044352214,0.0547514182619845,6.92769009144426,60.0218262241548,3.87728201525952,15.4476681469614,0,0,0,1221.92753132272,0.18574567415812,0,0.0025940126083578,0.00444657254653672,0.0077232726,0,0,0,0,0.0811758673989868,0
1747,2.09777075542297,0,0,0.0250004289361338,0.024856862,34.0499992370605,0.010071225,0,0,0,0,0,0,0,0,0,0,5.29999780654907,105.08773,0,457.000002543132,4275.7449,729.83208211263,19.0197831178096,277.043998718262,348.52735877736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.802047729492,0.0547514182619845,6.92769009144426,60.0218262241548,3.87728201525952,15.4476681469614,0,0,0,1221.92753132272,0.18574567415812,0,0.0025940126083578,0.00444657254653672,0.0077232726,0,0,0,0,0.0811758673989868,0
1748,2.09777075542297,0,0,0.0250004289361338,0.024856862,34.0499992370605,0.010071225,0,0,0,0,0,0,0,0,0,0,5.29999780654907,105.08773,0,457.000002543132,4275.7449,730.233098347982,19.0197831178096,277.079999287923,348.52735877736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.817049662272,0.0547514182619845,6.92769009144426,60.0218262241548,3.87728201525952,15.4476681469614,0,0,0,1221.92753132272,0.18574567415812,0,0.0025940126083578,0.00444657254653672,0.0077232726,0,0,0,0,0.0811758673989868,0
1749,2.09777075542297,0,0,0.0250004289361338,0.024856862,34.0499992370605,0.010071225,0,0,0,0,0,0,0,0,0,0,5.29999780654907,105.08773,0,457.000002543132,4275.7449,730.976984659831,19.0197831178096,277.109001159668,348.52735877736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.833045959473,0.0547514182619845,6.92769009144426,60.0218262241548,3.87728201525952,15.4476681469614,0,0,0,1221.92753132272,0.18574567415812,0,0.0025940126083578,0.00444657254653672,0.0077232726,0,0,0,0,0.0811758673989868,0
1750,2.09777075542297,0,0,0.0250004289361338,0.024856862,34.0499992370605,0.010071225,0,0,0,0,0,0,0,0,0,0,5.29999780654907,105.08773,0,457.000002543132,4275.7449,731.405995686849,19.0197831178096,277.147003173828,348.52735877736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.865051269531,0.0547514182619845,6.92769009144426,60.0218262241548,3.87728201525952,15.4476681469614,0,0,0,1221.92753132272,0.18574567415812,0,0.0025940126083578,0.00444657254653672,0.0077232726,0,0,0,0,0.0811758673989868,0
1751,2.07292592577364,0,0,0.0250004289361338,0.024856862,34.0499992370605,0.010071225,0,0,0,0,0,0,0,0,0,0,5.29999780654907,105.1072,0,457.000002543132,4276.7685,731.838165283203,18.9151088699315,277.188000996908,343.92636724866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.894055684407,0.0557857964728974,6.86014218494785,59.0881262814941,3.83377293572513,15.1887167442771,-2.29457254754928e-4,0,0,1206.06817998415,0.185756746051751,0,0.00259410630270298,0.00444657254653672,0.0077232726,0,0,0,0,0.0826692695573487,0
1752,2.06431193291935,0,0,0.0250004289361338,0.024856862,34.0499992370605,0.010071225,0,0,0,0,0,0,0,0,0,0,5.29999780654907,105.12502,0,457.000002543132,4277.7049,732.899973551432,18.8897118118868,277.229001363118,341.809033901687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.927055358887,0.0568397164293428,6.81948203671745,58.6319970268832,3.8343718514044,15.034475741404,-4.58914509509855e-4,0,0,1200.42784733962,0.185760471582431,0,0.00259520846467241,0.00444657254653672,0.0077232726,0,0,0,0,0.0841901460141451,0
1753,2.07195056351547,0,0,0.0250004289361338,0.024856862,34.0499992370605,0.010071225,0,0,0,0,0,0,0,0,0,0,5.29999780654907,105.10373,0,457.000002543132,4276.586,733.634038289388,19.1213772311719,277.263000488281,343.675456209175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.973055521647,0.0579135473191227,6.88143852899345,59.0263494002083,3.81779432281837,15.1825451510084,-6.88371764264782e-4,0,0,1207.2270985351,0.18576171690695,0,0.0025953021590176,0.00444657254653672,0.0077232726,0,0,0,0,0.0857390022173361,0
